Timestamp,Longitude,Latitude,Operatorname,Operator,Cellname,Node,CellID,LAC,NetworkTech,Level,Qual,SNR,CQI,LTERSSI,ARFCN,PSC,Altitude,Distance,TA,BAND,SourceFile
2025.07.18_22.11.08,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-96,-15.0,0.0,,-85.0,1850,132,59,-1.0,,,,Yas_log.txt
2025.07.18_22.11.09,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-94,-14.0,0.0,,-81.0,1850,132,59,-1.0,,,,Yas_log.txt
2025.07.18_22.11.14,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-93,-11.0,0.0,,-83.0,1850,132,59,-1.0,,,,Yas_log.txt
2025.07.18_22.11.19,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-93,-11.0,0.0,,-83.0,1850,132,59,-1.0,,,,Yas_log.txt
2025.07.18_22.11.29,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-93,-10.0,0.0,,-83.0,1850,132,59,-1.0,,,,Yas_log.txt
2025.07.18_22.11.34,-17.436165,14.665338,Yas,60802,0,0,2G,-113,,,,,0.0,0,59,-1,,,,,Yas_log.txt
2025.07.18_22.11.36,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-99,-9.0,0.0,,-89.0,1850,132,59,-1.0,,,,Yas_log.txt
2025.07.18_22.11.39,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-98,-10.0,0.0,,-91.0,1850,132,59,-1.0,5.0,L3,,Yas_log.txt
2025.07.18_22.11.40,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-100,-11.0,0.0,,-91.0,1850,132,59,-1.0,5.0,L3,,Yas_log.txt
2025.07.18_22.11.41,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-100,-11.0,0.0,,-91.0,1850,132,59,-1.0,5.0,L3,,Yas_log.txt
2025.07.18_22.11.42,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-100,-11.0,0.0,,-91.0,1850,132,59,-1.0,5.0,L3,,Yas_log.txt
2025.07.18_22.11.42,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-98,-11.0,0.0,,-91.0,1850,132,59,-1.0,5.0,L3,,Yas_log.txt
2025.07.18_22.11.43,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-98,-11.0,0.0,,-91.0,1850,132,59,-1.0,5.0,L3,,Yas_log.txt
2025.07.18_22.11.44,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-98,-11.0,0.0,,-91.0,1850,132,59,-1.0,5.0,L3,,Yas_log.txt
2025.07.18_22.11.45,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-98,-12.0,0.0,,-87.0,1850,132,59,-1.0,6.0,L3,,Yas_log.txt
2025.07.18_22.11.45,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-98,-12.0,0.0,,-87.0,1850,132,59,-1.0,6.0,L3,,Yas_log.txt
2025.07.18_22.11.46,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-91,-10.0,0.0,,-81.0,1850,132,59,-1.0,6.0,L3,,Yas_log.txt
2025.07.18_22.11.47,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-91,-10.0,0.0,,-81.0,1850,132,59,-1.0,6.0,L3,,Yas_log.txt
2025.07.18_22.11.48,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-99,-13.0,0.0,,-81.0,1850,132,59,-1.0,6.0,L3,,Yas_log.txt
2025.07.18_22.11.50,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-99,-13.0,0.0,,-81.0,1850,132,59,-1.0,6.0,L3,,Yas_log.txt
2025.07.18_22.11.50,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-94,-8.0,0.0,,-85.0,1850,132,59,-1.0,6.0,L3,,Yas_log.txt
2025.07.18_22.11.52,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-94,-8.0,0.0,,-85.0,1850,132,59,-1.0,6.0,L3,,Yas_log.txt
2025.07.18_22.11.53,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-91,-9.0,0.0,,-87.0,1850,132,59,-1.0,6.0,L3,,Yas_log.txt
2025.07.18_22.11.53,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-91,-9.0,0.0,,-87.0,1850,132,59,-1.0,6.0,L3,,Yas_log.txt
2025.07.18_22.11.54,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-91,-9.0,0.0,,-87.0,1850,132,59,-1.0,6.0,L3,,Yas_log.txt
2025.07.18_22.11.55,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-101,-10.0,0.0,,-87.0,1850,132,59,-1.0,6.0,L3,,Yas_log.txt
2025.07.18_22.11.56,-17.436165,14.665338,Yas,60802,1032,1,701,4G,-101,-10.0,0.0,,-87.0,1850,132,59,-1.0,6.0,L3,,Yas_log.txt
